<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.26	133180	133875	132605	133200	3920590	13182091	5
2025.03.27	133680	134640	133240	133835	4098672	13264875	5
2025.03.28	133745	133800	132030	132720	4009360	13628018	5
2025.03.31	131935	132170	130805	130960	3924255	12965594	5
2025.04.01	131130	132665	130625	131700	4278720	13937774	5
2025.04.02	131525	133410	130760	130760	4736527	14995530	5
2025.04.03	130340	133130	130205	131870	5134665	15944876	5
2025.04.04	129700	129900	126825	127650	5458614	16430319	5
2025.04.07	125650	129025	124225	125890	8268450	20555088	5
2025.04.08	127300	127980	123645	124000	6488199	18956798	5
2025.04.09	123015	129960	122560	127550	7744091	20281068	5
2025.04.10	127145	128245	125060	126535	7135820	18183647	5
2025.04.11	127080	128540	126100	127920	5748328	16042050	5
2025.04.14	128600	130125	128425	129480	5601680	16677229	5
2025.04.15	129450	129995	128950	129275	4799276	14527426	5
2025.04.16	131520	132065	130380	130570	4891738	14829966	5
2025.04.17	130855	132600	130270	131875	4618854	14547931	5
2025.04.22	132140	133335	130940	133110	4565976	14824219	5
2025.04.23	134125	135770	134110	135015	4576845	15266882	5
2025.04.24	134785	137390	134675	137050	4389234	14973591	5
2025.04.25	136745	137430	136500	137265	4156547	13527456	5
2025.04.28	136890	138070	136840	137275	3785289	12692963	5
2025.04.29	137265	138465	137145	137420	3823534	12713209	5
2025.04.30	137155	137640	136115	136800	4602087	15631306	5
2025.05.02	137240	137555	136380	137555	3936753	13246304	5
2025.05.05	136975	137460	135300	135300	3651281	12627039	5
2025.05.06	135300	136220	135160	135665	3824191	13233269	5
2025.05.07	136000	136500	134675	135390	4352420	15321888	5
2025.05.08	136400	139620	136380	138360	4297615	15286787	5
2025.05.09	138800	139070	137905	138220	3657372	12763863	5
2025.05.12	140305	140310	138060	138620	3622531	12519481	5
2025.05.13	138700	141360	138325	140525	3902985	13566898	5
2025.05.14	140555	141030	139925	140065	3942963	13024902	5
2025.05.15	139775	141170	139570	141075	4079820	13049726	5
2025.05.16	140770	140850	139120	140325	3987730	13256634	5
2025.05.19	140000	141740	139895	141310	4085195	13486175	5
2025.05.20	141300	141730	140390	141500	3720165	12241512	5
2025.05.21	141270	141515	138790	139060	4132974	13977693	5
2025.05.22	139065	140150	135175	136290	4833291	16364717	5
2025.05.23	136440	139205	135960	138830	4849841	14575123	5
2025.05.26	139200	139965	138715	139420	3661810	10766967	5
2025.05.27	140020	141625	140020	140930	4258967	12993601	5
2025.05.28	140795	141080	139565	140285	3538471	10644307	5
2025.05.29	140600	140600	138835	139605	4303644	13245683	5
2025.05.30	139600	140045	137535	138020	4393900	13057022	5
2025.06.02	138110	139570	137240	137435	4114122	12783973	5
2025.06.03	137525	138575	136845	138490	3791354	11286566	5
2025.06.04	138650	139550	137440	137815	4342844	12497907	5
2025.06.05	138010	138250	136570	136935	4690340	13741920	5
2025.06.06	137400	137535	136150	136800	4522670	13158077	5
2025.06.09	136775	137200	134520	136290	4370504	12928521	5
2025.06.10	136780	137885	136500	137045	4896232	14338754	5
2025.06.11	137020	137950	135710	137320	5035078	14589989	5
2025.06.12	136830	138245	136020	138175	4711292	13896778	5
2025.06.13	137385	137950	136660	137285	5055324	14386162	5
2025.06.16	137600	140265	137550	140150	4632246	13463267	5
2025.06.17	139650	139795	138280	138940	4758730	13347934	5
2025.06.18	141695	141960	141000	141655	4149233	11654037	5
2025.06.20	141580	141745	139305	139710	3999334	11950298	5
2025.06.23	139695	139945	138320	139215	4412957	13197834	5
2025.06.24	139860	140670	138640	139300	4299804	13393477	5
2025.06.25	139300	139385	137735	138190	4462436	13448923	5
2025.06.26	138635	139750	138325	139225	4368899	13193476	5
2025.06.27	139600	139740	138300	139335	4311438	12888531	5
2025.06.30	139250	141450	138025	141115	4437997	13572073	5
2025.07.01	140900	141950	140725	141785	4523643	13400152	5
2025.07.02	141830	142200	140400	141435	5033023	16123132	5
2025.07.03	141160	143445	140865	143125	4285251	13689174	5
2025.07.04	142675	143825	142415	143815	3139189	9212872	5
2025.07.07	143360	143415	141145	141325	4314703	14434276	5
2025.07.08	141670	141895	140530	141250	4639137	14853931	5
2025.07.09	141280	141340	137155	137820	4458197	14619877	5
2025.07.10	137320	138875	136755	138575	1440879	14217536	0
2025.07.11	138100	138255	137005	137615	1332117	13124695	0
2025.07.14	137370	137720	136225	136740	1273429	12501361	0
2025.07.15	136880	137535	135650	137175	1454851	14457463	0
2025.07.16	136640	137280	135525	136495	4707232	15155740	5
2025.07.17	136210	137065	135635	136795	4189123	13358287	5
2025.07.18	136565	136640	134310	134725	4346331	14208242	5
2025.07.21	134140	136050	134040	135145	4077696	12491618	5
2025.07.22	135250	136385	134785	135575	4282174	12671542	5
2025.07.23	135675	136800	134505	136360	4407378	14524563	5
2025.07.24	136065	136160	134510	134595	3813037	12372466	5
2025.07.25	134530	135555	134075	134280	3913396	12857314	5
2025.07.28	134210	134885	132335	133065	3996229	12893828	5
2025.07.29	133150	134100	132770	133355	4306269	13812225	5
2025.07.30	133435	135870	132495	134560	5964364	18329610	5
2025.07.31	133980	134210	132520	133635	4446148	15005278	5
2025.08.01	132905	135480	132505	132990	5262398	16283581	5
2025.08.04	133400	134585	132815	133200	4691928	14790649	5
2025.08.05	132760	134650	132600	133520	5186044	16729636	5
2025.08.06	133760	135585	133740	134780	4924105	16548647	5
2025.08.07	135225	137265	135035	137060	4678780	16075606	5
2025.08.08	136705	136795	135720	136365	4283785	14746803	5
2025.08.11	136105	136445	135510	135850	4299297	14073125	5
2025.08.12	136335	138490	136070	138135	4573067	15047802	5
2025.08.13	141130	141445	139530	139675	3690919	12126011	5
2025.08.14	139480	140460	138485	139400	4514605	15309189	5
2025.08.15	139500	140820	138400	139395	3929601	13291750	5
2025.08.18	139295	140820	138955	140075	4245867	13770442	5
2025.08.19	140170	140200	136250	136490	4730049	17179543	5
2025.08.20	136795	137665	136460	137145	4572422	15455438	5
2025.08.21	136960	137565	135900	137140	2647742	8662578	5
2025.08.22	137165	140925	137005	140740	4332934	14594795	5
2025.08.25	140780	141585	140500	140850	3938882	13039301	5
2025.08.26	140525	140735	139450	140435	3950842	13263278	5
2025.08.27	140100	141765	139540	141310	4556031	15030335	5
2025.08.28	142150	144660	142115	143750	4312250	15181579	5
2025.08.29	143005	144775	142870	144095	3808432	13186821	5
2025.09.01	143905	144250	143035	143610	3572805	11506432	5
2025.09.02	142650	143250	141615	142500	5047682	16312820	5
2025.09.03	142700	142815	141590	141780	4429080	14520121	5
2025.09.04	141750	143495	141550	142965	4302003	14539994	5
2025.09.05	143240	145465	143160	144650	4387947	15113162	5
2025.09.08	144850	145025	143145	143790	4101695	14260476	5
2025.09.09	143930	144475	143340	143605	4357119	15154379	5
2025.09.10	143780	144920	142965	144335	4675705	15539743	5
2025.09.11	144150	145695	143380	144795	4686305	15432157	5
2025.09.12	144395	144870	143550	144165	4057286	13754057	5
2025.09.15	144150	145805	143930	144790	4888988	16459886	5
2025.09.16	145620	146260	145050	145475	5215210	16874758	5
2025.09.17	145400	147895	145115	146995	6221855	20255081	5
2025.09.18	147100	147395	146325	147105	4411907	13789702	5
2025.09.19	146730	147720	146435	146840	4168679	13420546	5
2025.09.22	146675	146775	145240	146245	4568586	15101935	5
2025.09.23	146135	148375	146040	147590	4917066	16227937	5
2025.09.24	147590	149000	147155	148800	4591042	15260996	5
2025.09.25	148000	148700	146110	146405	4784244	15875249	5
2025.09.26	146545	147170	145975	146360	3852077	12760173	5
2025.09.29	146635	149095	146620	147305	4049531	13564960	5
2025.09.30	147400	148435	146610	147135	3915509	13765079	5
2025.10.01	147205	148125	145910	146255	5096126	16303523	5
2025.10.02	146750	147280	144235	144725	4772773	16695516	5
2025.10.03	145000	145160	144210	144670	4446975	15362718	5
2025.10.06	144860	145335	143820	144060	4677479	16319581	5
2025.10.07	143650	143715	141420	141615	4700307	16472568	5
2025.10.08	141700	142780	141640	142490	4439889	15154265	5
2025.10.09	142900	143800	141810	141890	4882928	16042877	5
2025.10.10	142145	142685	140055	140350	5840043	19116664	5
2025.10.13	141550	142450	141480	141615	5029863	16041543	5
2025.10.14	140590	142690	140500	141790	5411981	17459999	5
2025.10.15	145145	146100	144005	145715	5246171	16834436	5
2025.10.16	145735	146195	144330	145010	5202844	17344967	5
2025.10.17	144885	146545	144080	146450	4852746	16047462	5
2025.10.20	146320	148215	146250	147300	5033856	16047612	5
2025.10.21	147100	147740	146645	147235	4867380	15638988	5
2025.10.22	146995	147945	146565	147915	5465024	17491964	5
2025.10.23	147960	149125	147770	148785	4555225	14960018	5
2025.10.24	148545	150095	148450	148815	3975279	13275481	5
2025.10.27	150075	150750	149475	149790	3932290	13212693	5
2025.10.28	149520	150525	149065	150375	4301297	14515360	5
2025.10.29	150465	151740	149815	151295	4872378	16698139	5
2025.10.30	151000	151795	149900	151760	4276573	14882389	5
2025.10.31	151485	152245	151355	152225	4428930	14254100	5
2025.11.03	152225	153225	151965	153000	4381324	14075029	5
2025.11.04	151950	153250	151750	153050	4482764	14825175	5
2025.11.05	152850	155990	152515	155915	5426314	19188558	5
2025.11.06	155455	156570	155455	155750	4861425	16211678	5
2025.11.07	155635	156350	154500	156240	4905931	16446808	5
2025.11.10	157100	157940	156670	157820	4416641	15503479	5
2025.11.11	157940	160605	157940	159835	5543604	19500981	5
2025.11.12	160000	160170	158610	159615	4622436	16273060	5
2025.11.13	159950	160295	158475	159040	5379253	18371316	5
2025.11.14	158295	160275	158065	159310	5209544	17874270	5
2025.11.17	159585	159670	158335	158840	5283203	17365159	5
2025.11.18	158100	158750	157120	158095	5583551	18434506	5
2025.11.19	158360	158440	156260	156880	4786095	15968808	5
2025.11.21	155200	156690	155025	156440	5379917	17168852	5
2025.11.24	156750	157335	155930	156975	4586419	15424527	5
2025.11.25	156885	157760	156035	157300	5384300	17974421	5
2025.11.26	157500	160145	157415	160145	4823231	16740509	5
2025.11.27	159815	159980	159285	159610	3173207	10133469	5
2025.11.28	159485	160840	159465	160100	4416087	13390817	5
2025.12.01	160000	160360	158945	159690	4272563	14342720	5
2025.12.02	160025	162425	159745	162270	5359295	17844228	5
2025.12.03	162380	162900	161970	162650	5250396	17396944	5
2025.12.04	162655	165505	162650	165270	5350386	19325362	5
2025.12.05	165250	165785	157465	158325	7822407	23712244	5
2025.12.08	160090	160105	158110	158860	6069680	20350172	5
2025.12.09	158465	159415	155630	158210	6945975	23815407	5
2025.12.10	159300	160280	157965	159560	6713077	22532272	5
2025.12.11	158635	160270	158050	159465	5331780	18206249	5
2025.12.12	159715	161610	159540	161030	5624538	18508570	5
2025.12.15	161575	163300	161345	162755	5607393	18892438	5
2025.12.16	161250	161350	157325	157585	6080089	18346181	5
2025.12.17	161500	161690	159610	160340	5716751	17583579	5
2025.12.18	160660	161835	159845	161315	5321211	17220599	5
2025.12.19	161200	162725	160990	161600	4381643	14265906	5
2025.12.22	162055	162415	160150	161045	4759489	15641312	5
2025.12.23	161245	163520	160900	163400	4245422	14223045	5
2025.12.26	162935	164120	162100	164050	3882160	12576287	5
2025.12.29	163850	164335	162355	162990	4445389	14286357	5
2025.12.30	163430	164795	163070	163770	4168269	13482582	5
2026.01.02	163970	165040	162530	162700	4232119	13811842	5
2026.01.05	163160	164595	162565	164420	5003636	16548286	5
2026.01.06	164575	166655	164525	166200	5029364	17431756	5
2026.01.07	166250	166260	164010	164100	4463220	15112101	5
2026.01.08	163900	165080	163745	164925	4836806	15757409	5
2026.01.09	165150	166435	164510	165220	4638711	15609134	5
2026.01.12	165500	165800	164285	165355	4631039	15617295	5
2026.01.13	165485	165690	163635	163845	4802818	16761162	5
2026.01.14	164050	167315	163825	167260	5645768	19961649	5
2026.01.15	167000	168025	166625	167580	4942554	16722077	5
2026.01.16	167420	167990	165805	166520	3656903	12680081	5
2026.01.19	165780	166855	165600	166525	3509454	10885320	5
2026.01.20	165800	168080	164895	167695	5531558	19040409	5
2026.01.21	167795	173960	167795	173605	5936416	21213917	5
2026.01.22	173780	179710	173350	177360	6927654	21818103	5
2026.01.23	178510	182250	177180	180620	6207102	20179667	5
2026.01.26	181100	183385	179135	179750	6773941	19014432	5
2026.01.27	181360	184785	181270	183095	6377060	19688979	5
2026.01.28	184385	186460	183475	186300	7190307	20121444	5
2026.01.29	187700	188780	182645	184240	7158610	20282487	5
2026.01.30	183200	184765	181065	182695	7266529	21830355	5
2026.02.02	180820	184060	180820	183655	5802123	17230040	5
2026.02.03	184500	188315	184490	186465	6919298	20907633	5
2026.02.04	187180	187435	180935	182385	7019739	20779435	5
2026.02.05	182370	184870	182025	182980	6969482	20753474	5
2026.02.06	183860	184660	181925	183380	6268775	18405565	5
2026.02.09	183780	187060	183580	186790	5962834	18318608	5
2026.02.10	185960	187350	185460	186315	5641380	18062892	5
2026.02.11	187000	190955	186920	189880	6329726	19663953	5
2026.02.12	190740	191225	187120	188005	6894620	21083432	5
2026.02.13	187300	187540	183725	186680	6290107	17073314	5
2026.02.18	190460	191695	188780	190175	3345547	8865633	5
2026.02.19	190465	192565	189650	192250	5907487	16519188	5
2026.02.20	192345	194400	190260	193745	6081825	17903736	5
2026.02.23	193590	194675	192050	192475	5742738	16966547	5
2026.02.24	192720	195395	192515	195030	5693695	16739741	5
2026.02.25	196500	197760	193670	194310	5433306	15519313	5
2026.02.26	194005	195035	192170	194255	6049801	17786642	5
2026.02.27	194155	194300	191550	191550	6234821	17288568	5
2026.03.02	190135	193250	189555	192400	6799883	19394865	5
2026.03.03	188750	188750	183175	185000	8990972	25556559	5
2026.03.04	185995	189250	185935	187685	6640727	19493820	5
2026.03.05	187000	188410	182440	182805	8401641	23811148	5
2026.03.06	181500	183790	181010	182055	7986423	21917021	5
2026.03.09	180580	184525	179975	183700	8074256	22867615	5
2026.03.10	183790	187840	182935	185950	7509666	22874359	5
2026.03.11	186000	188165	183625	186010	7241386	20102372	5
2026.03.12	185335	185360	180520	181205	7607344	22038212	5
2026.03.13	182220	183185	179260	179900	6984948	20601120	5
2026.03.16	181800	183320	181265	182145	5934114	17712647	5
2026.03.17	181945	184685	180805	182240	6632839	20403219	5
2026.03.18	183075	183455	180330	180950	7340683	21071252	5
2026.03.19	180020	183240	177480	181995	7788736	21712226	5
2026.03.20	180425	181600	176385	180250	7093271	21043092	5
2026.03.23	179805	184600	177950	184200	8281094	23433234	5
2026.03.24	183500	186780	181145	185665	7695744	23240470	5
2026.03.25	186880	187810	185450	186850	7018256	21481246	5
2026.03.26	184895	186320	183725	184335	6871834	20151509	5
2026.03.27	183300	184650	182010	182115	5857753	18012529	5
2026.03.30	182895	185485	181935	183280	6108038	18980570	5
2026.03.31	184900	189130	184660	188885	7102995	21134400	5
2026.04.01	189825	190255	188060	188800	6798038	20819580	5
2026.04.02	186110	190105	185330	188660	6349553	19360932	5
2026.04.06	189200	189990	188350	188795	5563022	15737569	5
2026.04.07	188160	189530	186335	189260	6670264	19495120	5
2026.04.08	194135	195430	191570	192400	6764642	21446105	5
2026.04.09	192085	196150	192080	196150	5971250	19545431	5
2026.04.10	195925	198580	195510	198580	5430738	17698724	5
2026.04.13	196855	198465	196295	197915	5426809	18144129	5
2026.04.14	198655	199570	198105	198470	4920485	16088671	5
2026.04.15	202885	203495	201210	201720	4569313	15021184	5
2026.04.16	202065	202975	200535	200750	5022193	16685330	5
2026.04.17	201525	203470	199345	199650	5439937	18331930	5
2026.04.20	199660	200785	199175	200430	4528614	14909975	5
2026.04.22	200550	200660	196120	196135	5317801	17787249	5
2026.04.23	196275	197040	194425	194520	5736567	19366117	5
2026.04.24	195330	195430	193430	194355	4722792	16249994	5
2026.04.27	194760	195245	192600	192755	4663316	15951114	5
2026.04.28	192075	192310	190550	191890	4813412	16872998	5
2026.04.29	191670	191695	186865	186900	4848950	17290498	5
2026.04.30	188500	191035	188305	189980	4278813	15256136	5
2026.05.04	189490	190870	188195	188580	4788573	17555067	5
2026.05.05	189525	190245	188040	189400	4896613	17272751	5
2026.05.06	191440	192560	189635	190000	5380501	18714703	5
2026.05.07	190300	190575	185180	185260	5775245	20019957	5
2026.05.08	186000	188255	185800	187190	4918233	16746381	5
2026.05.11	187400	187400	183940	184600	5292080	18126808	5
2026.05.12	183800	184090	182145	182770	5308002	18065247	5
2026.05.13	182750	182900	178790	179105	5564786	19143382	5
2026.05.14	179055	181550	179055	180675	4818196	16729366	5
2026.05.15	179000	179425	177220	179360	5032445	17097321	5
2026.05.18	179000	179550	177580	179530	5247022	17783365	5
2026.05.19	178560	178700	175200	176465	5563071	20252108	5
2026.05.20	176465	179945	176180	178650	4906603	17533842	5
2026.05.21	178060	180355	177305	178700	5072306	18195686	5
2026.05.22	178495	178910	176310	177745	1756466	15744730	0
